Date,Open,High,Low,Close,Volume
2021-03-22 00:00:00,1.25258,1.2530000000000001,1.2518799999999999,1.25264,1559
2021-03-22 01:00:00,1.25259,1.25272,1.25167,1.2524,1335
2021-03-22 02:00:00,1.25241,1.2524600000000001,1.25164,1.25226,2111
2021-03-22 03:00:00,1.25226,1.2534100000000001,1.2518,1.25198,2957
2021-03-22 04:00:00,1.25198,1.25225,1.25086,1.2509000000000001,2292
2021-03-22 05:00:00,1.25091,1.25118,1.25024,1.25062,1887
2021-03-22 06:00:00,1.25062,1.25098,1.2497,1.25015,1352
2021-03-22 07:00:00,1.25015,1.2502900000000001,1.24923,1.24993,1674
2021-03-22 08:00:00,1.24994,1.25064,1.24957,1.25034,2603
2021-03-22 09:00:00,1.25034,1.2521200000000001,1.24956,1.25119,4255
2021-03-22 10:00:00,1.25115,1.25142,1.24874,1.24952,4793
2021-03-22 11:00:00,1.24951,1.25011,1.24919,1.24969,2738
2021-03-22 12:00:00,1.24965,1.24983,1.24811,1.24911,2925
2021-03-22 13:00:00,1.24912,1.24915,1.24733,1.24767,3535
2021-03-22 14:00:00,1.24767,1.25062,1.24743,1.25043,3549
2021-03-22 15:00:00,1.25043,1.25128,1.24921,1.25079,4902
2021-03-22 16:00:00,1.25078,1.25409,1.2503,1.25263,6022
2021-03-22 17:00:00,1.25262,1.2539500000000001,1.25168,1.25279,4008
2021-03-22 18:00:00,1.25278,1.25285,1.25186,1.25191,2794
2021-03-22 19:00:00,1.2519,1.25233,1.25114,1.25148,2273
2021-03-22 20:00:00,1.25148,1.25159,1.25079,1.2509299999999999,1728
2021-03-22 21:00:00,1.2509299999999999,1.25269,1.2507,1.25251,2148
2021-03-22 22:00:00,1.2525,1.25277,1.25187,1.25206,1243
2021-03-22 23:00:00,1.25226,1.25237,1.25126,1.25214,643
2021-03-23 00:00:00,1.25214,1.25259,1.2518799999999999,1.25241,1044
2021-03-23 01:00:00,1.25244,1.2527599999999999,1.25208,1.25213,981
2021-03-23 02:00:00,1.25214,1.2530000000000001,1.2518799999999999,1.25266,1987
2021-03-23 03:00:00,1.25269,1.25336,1.25227,1.2530299999999999,2274
2021-03-23 04:00:00,1.2530299999999999,1.25437,1.25298,1.25407,2032
2021-03-23 05:00:00,1.25407,1.25426,1.25339,1.25349,1548
2021-03-23 06:00:00,1.2535,1.2548300000000001,1.25345,1.25458,1483
2021-03-23 07:00:00,1.2545899999999999,1.25523,1.2543199999999999,1.25511,1955
2021-03-23 08:00:00,1.25511,1.2557,1.25435,1.25443,2424
2021-03-23 09:00:00,1.25443,1.25528,1.25353,1.25467,3278
2021-03-23 10:00:00,1.25465,1.25614,1.25462,1.25531,4165
2021-03-23 11:00:00,1.25528,1.25847,1.25511,1.2582499999999999,4391
2021-03-23 12:00:00,1.25826,1.2594699999999999,1.25754,1.25824,4435
2021-03-23 13:00:00,1.25824,1.25894,1.2567,1.25793,4122
2021-03-23 14:00:00,1.25793,1.25828,1.25599,1.25711,4821
2021-03-23 15:00:00,1.2570999999999999,1.25799,1.25614,1.2564600000000001,5447
2021-03-23 16:00:00,1.2564600000000001,1.25713,1.25464,1.2561,5994
2021-03-23 17:00:00,1.25609,1.25643,1.2545600000000001,1.25492,4698
2021-03-23 18:00:00,1.25492,1.25629,1.25479,1.25611,4908
2021-03-23 19:00:00,1.25611,1.25656,1.25208,1.25595,6331
2021-03-23 20:00:00,1.25592,1.25709,1.25577,1.25709,4635
2021-03-23 21:00:00,1.2570999999999999,1.2588,1.25609,1.25836,5655
2021-03-23 22:00:00,1.25837,1.25909,1.2578,1.25874,2300
2021-03-23 23:00:00,1.2585,1.25868,1.25779,1.2581,400
2021-03-24 00:00:00,1.25811,1.25862,1.25722,1.2586,975
2021-03-24 01:00:00,1.2585899999999999,1.25979,1.25843,1.25887,1805
2021-03-24 02:00:00,1.25887,1.25911,1.25793,1.2583199999999999,2563
2021-03-24 03:00:00,1.2583199999999999,1.2591,1.25767,1.25895,2577
2021-03-24 04:00:00,1.25896,1.26025,1.25871,1.2598099999999999,2890
2021-03-24 05:00:00,1.2597800000000001,1.25997,1.25901,1.25927,1716
2021-03-24 06:00:00,1.25927,1.2598799999999999,1.25894,1.2595399999999999,1552
2021-03-24 07:00:00,1.25953,1.26017,1.25935,1.26,1988
2021-03-24 08:00:00,1.25999,1.26025,1.25855,1.2585600000000001,2468
2021-03-24 09:00:00,1.25857,1.26025,1.25812,1.2601200000000001,4144
2021-03-24 10:00:00,1.26014,1.26088,1.25754,1.2579,5348
2021-03-24 11:00:00,1.2579,1.25803,1.25648,1.25686,3995
2021-03-24 12:00:00,1.25685,1.25923,1.2567599999999999,1.25841,2805
2021-03-24 13:00:00,1.25837,1.25876,1.25683,1.25738,2734
2021-03-24 14:00:00,1.25739,1.25897,1.25691,1.25804,3180
2021-03-24 15:00:00,1.25803,1.25959,1.25552,1.2572,5780
2021-03-24 16:00:00,1.2572,1.25752,1.25462,1.25532,6509
2021-03-24 17:00:00,1.2552699999999999,1.25573,1.25461,1.25525,5475
2021-03-24 18:00:00,1.25519,1.25566,1.2542900000000001,1.2555100000000001,4009
2021-03-24 19:00:00,1.2555100000000001,1.25595,1.2546599999999999,1.2551999999999999,4143
2021-03-24 20:00:00,1.2551999999999999,1.25664,1.25469,1.2564899999999999,5217
2021-03-24 21:00:00,1.25647,1.25803,1.2561,1.25773,4005
2021-03-24 22:00:00,1.25772,1.25836,1.25727,1.2582,1744
2021-03-24 23:00:00,1.25799,1.25837,1.2572999999999999,1.25775,464
2021-03-25 00:00:00,1.25757,1.25841,1.25719,1.25839,746
2021-03-25 01:00:00,1.25836,1.2585,1.25777,1.2579099999999999,957
2021-03-25 02:00:00,1.2579,1.25805,1.25678,1.2568,1762
2021-03-25 03:00:00,1.25679,1.25895,1.25677,1.25821,3382
2021-03-25 04:00:00,1.25821,1.2582499999999999,1.25638,1.25648,3027
2021-03-25 05:00:00,1.25647,1.25724,1.25638,1.25704,1370
2021-03-25 06:00:00,1.25704,1.25726,1.25645,1.2570700000000001,1299
2021-03-25 07:00:00,1.25706,1.25754,1.25637,1.25751,2181
2021-03-25 08:00:00,1.25751,1.25782,1.25655,1.25687,2302
2021-03-25 09:00:00,1.25687,1.25751,1.25627,1.25724,3355
2021-03-25 10:00:00,1.25725,1.2577,1.25603,1.25728,4974
2021-03-25 11:00:00,1.25728,1.25807,1.25671,1.25699,3319
2021-03-25 12:00:00,1.25699,1.25701,1.25462,1.25537,3161
2021-03-25 13:00:00,1.25537,1.25826,1.2552400000000001,1.25808,4540
2021-03-25 14:00:00,1.25804,1.25957,1.25796,1.25878,5767
2021-03-25 15:00:00,1.2588300000000001,1.26082,1.25793,1.26035,8000
2021-03-25 16:00:00,1.26038,1.26281,1.2589000000000001,1.26182,8980
2021-03-25 17:00:00,1.26181,1.26291,1.26016,1.2613400000000001,7957
2021-03-25 18:00:00,1.26135,1.26193,1.26017,1.26187,5950
2021-03-25 19:00:00,1.26187,1.26228,1.2606,1.26152,6315
2021-03-25 20:00:00,1.26152,1.26217,1.2607,1.2614,5240
2021-03-25 21:00:00,1.26141,1.26237,1.26093,1.26194,4848
2021-03-25 22:00:00,1.26194,1.26206,1.26075,1.2609,1923
2021-03-25 23:00:00,1.26092,1.26146,1.26022,1.26053,422
2021-03-26 00:00:00,1.26053,1.26093,1.26029,1.2603900000000001,1166
2021-03-26 01:00:00,1.2604199999999999,1.2607,1.2598,1.2604600000000001,804
2021-03-26 02:00:00,1.2604600000000001,1.26054,1.25942,1.2599,2868
2021-03-26 03:00:00,1.25991,1.26024,1.25882,1.25887,3459
2021-03-26 04:00:00,1.25885,1.25977,1.25864,1.25916,2299
2021-03-26 05:00:00,1.25916,1.25916,1.25848,1.25858,1418
2021-03-26 06:00:00,1.25858,1.25873,1.2583199999999999,1.25864,989
2021-03-26 07:00:00,1.25864,1.25864,1.25739,1.25747,1680
2021-03-26 08:00:00,1.25746,1.25763,1.25708,1.25719,2099
2021-03-26 09:00:00,1.25719,1.25844,1.25708,1.25783,3067
2021-03-26 10:00:00,1.25784,1.2579500000000001,1.25695,1.25784,3826
2021-03-26 11:00:00,1.25784,1.25849,1.25716,1.25754,2908
2021-03-26 12:00:00,1.25754,1.25867,1.25745,1.25823,2169
2021-03-26 13:00:00,1.2582200000000001,1.25895,1.25809,1.25851,2899
2021-03-26 14:00:00,1.25851,1.25855,1.2566,1.2576,3503
2021-03-26 15:00:00,1.2576,1.2576800000000001,1.25607,1.2568,5603
2021-03-26 16:00:00,1.25681,1.25818,1.25636,1.25807,4709
2021-03-26 17:00:00,1.25807,1.25867,1.25643,1.2579500000000001,5111
2021-03-26 18:00:00,1.25793,1.25828,1.25736,1.25812,3825
2021-03-26 19:00:00,1.25811,1.26001,1.25793,1.25996,2703
2021-03-26 20:00:00,1.25996,1.26086,1.25919,1.2594400000000001,4451
2021-03-26 21:00:00,1.25939,1.2594699999999999,1.25732,1.2574,3584
